organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
Urban Redevelopment Authority,d0c740f6-95c1-43e2-9a1c-b597ed70ff7d,"Private Property Price Index by Type, Quarterly",2016-06-07,2020-01-09,"The residential statistics were compiled from information in caveats lodged at the option stage with the Singapore Land Registry, supplemented with Stamp Duty data from the Inland Revenue Authority of Singapore, as well as data provided by developers for new sales. A caveat is normally lodged by a purchaser to protect his/her interest of a property shortly after the option to purchase is exercised.  The prices in 2009-Q1 are used as the base reference price of the index. The indices are compiled based on a Stratified Hedonic Regression method.  The value of properties transacted in the past 5 quarters are used as weights.  The weights are revised every 3 years.  The latest revision was in 2015-Q1.

The commercial statistics were compiled from information in caveats lodged at the option stage with the Singapore Land Registry.  A caveat is normally lodged by a purchaser to protect his/her interest of a property shortly after the option to purchase is exercised. The prices in 1998-Q4 are used as the base reference price of the index (i.e. the index for 1998-Q4 assumes a value of 100).The indices are compiled based on a Moving Average weight method, whereby the value of properties transacted in the past 12 quarters are used as weights.",Quarterly,1975-01-01,2019-09-30,a43c063d-0852-46e0-9756-f8539959c201,"Commercial Property Price Index (Base Quarter 1998-Q4 = 100), Quarterly","The commercial statistics were compiled from information in caveats lodged at the option stage with the Singapore Land Registry.  A caveat is normally lodged by a purchaser to protect his/her interest of a property shortly after the option to purchase is exercised. The prices in 1998-Q4 are used as the base reference price of the index (i.e. the index for 1998-Q4 assumes a value of 100).The indices are compiled based on a Moving Average weight method, whereby the value of properties transacted in the past 12 quarters are used as weights.",CSV
Ministry of Trade and Industry - Department of Statistics,9e312fca-2a07-4d2a-9ec7-1a65ee6cf748,"Compensation Of Employees By Industry At Current Prices, Annual",2016-06-21,2019-08-28,"Compensation of employees is defined as the total remuneration, in cash or in kind, payable by an enterprise to an employee in return for work done by the latter during the accounting period.  It consists of wages and salaries and employers' social contributions.",Annual,1980-01-01,2018-12-31,1354d855-e29c-4ff7-bf02-97eb4d988b1f,"Compensation of Employees at Current Prices, Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,9e312fca-2a07-4d2a-9ec7-1a65ee6cf748,"Compensation Of Employees By Industry At Current Prices, Annual",2016-06-21,2019-08-28,"Compensation of employees is defined as the total remuneration, in cash or in kind, payable by an enterprise to an employee in return for work done by the latter during the accounting period.  It consists of wages and salaries and employers' social contributions.",Annual,1980-01-01,2018-12-31,442c08cb-4765-4082-ab31-2302bc3ba2aa,"Compensation of Employees by Industry at Current Prices, Annual",na,CSV
Urban Redevelopment Authority,f8e5b154-b261-4447-a5b8-dec8e94bf80c,"Completed Private Residential Units Sold in the Quarter, Quarterly",2016-09-06,2020-01-10,Completed Properties refers to sold units in completed projects which are still licensed.,Quarterly,1999-10-01,2019-09-30,164153a2-8964-4db2-a457-0624eaf432b8,"Completed Private Residential Units Sold in the Quarter, Quarterly",Completed Properties refers to sold units in completed projects which are still licensed.,CSV
Ministry of Trade and Industry - Department of Statistics,9d73603b-a215-443b-b1dd-6f62953ab181,"Composite Leading Index, Quarterly",2016-02-29,2020-02-03,Base Year is 2015 (2015=100),Quarterly,1978-01-01,2019-09-30,9e26f922-03a1-4a11-96e7-dea61bd67a8c,"Composite Leading Index (Base Year = 2015), Quarterly",na,CSV
Infocomm Media Development Authority,49ff99dc-f7c4-4d50-b3c0-0277e335e48b,Computer Access at Home,2016-05-04,2017-02-06,To track the level of computer access,Annual,1999-01-01,2014-12-31,0f122caa-859c-4c70-a1e5-b6483cb9b14c,Computer Access at Home,na,CSV
Infocomm Media Development Authority,49ff99dc-f7c4-4d50-b3c0-0277e335e48b,Computer Access at Home,2016-05-04,2017-02-06,To track the level of computer access,Annual,1999-01-01,2014-12-31,7be6c267-5ba4-4fab-99cf-045f0823025a,Computer Access at Home by Number of Computers,To track the level of computer access by number of computers,CSV
Infocomm Media Development Authority,49ff99dc-f7c4-4d50-b3c0-0277e335e48b,Computer Access at Home,2016-05-04,2017-02-06,To track the level of computer access,Annual,1999-01-01,2014-12-31,d4dd3d13-36bf-42fb-8104-14dc70d4e0d0,Computer Access at Home by Housing Type,To track the level of computer access by housing type,CSV
Infocomm Media Development Authority,30c782ca-2c08-4495-a0f6-5b9b1d1a65a7,Computer ownership by Housing Type,2016-05-04,2019-10-18,"The Annual Survey on Infocomm Usage in Households (Survey) has been conducted by IDA since the 1990s. The objective of the Survey is to assess the extent of infocomm adoption in Singapore resident households and residents.

#Methodology

Data was collected from about 3,500 households and about 3,500 residents via face-to-face interviews. The sample of addresses was provided by the Singapore Department of Statistics based on a random selection using a two-stage stratified design by geographical location and housing type.

#Definition: 
Computer ownership refers to computer owned by household.",Annual,2000-01-01,2018-12-31,87ecee71-f6c5-41f2-ba58-0eca37502dab,Computer ownership by housing type,na,CSV
Infocomm Media Development Authority,e9aaee9c-efb1-4745-bd1d-7745fc13110b,Computer Usage Amongst Enterprises by Employment Size,2016-04-13,2019-08-08,"The annual survey on Infocomm Usage by Enterprises is carried out by the Research and Statistics Unit of the Infocomm Development Authority of Singapore since 1999. This survey is conducted under the Statistics Act (Chapter 317) which empowers the Director of the Research and Statistics Unit to collect data on the infocomm activities in Singapore. The Act also guarantees the confidentiality of individual information obtained from the survey. 

__Methodology__

This survey aims to gauge the levels and types of infocomm adoption and usage in enterprises in Singapore; and identify the barriers to infocomm adoption. Representative samples of infocomm and end-user enterprises were selected from the Department of Statistics (DOS) Establishment Sampling Frame.

__Notes on data__

The computer does not have to be owned by the enterprise, it may be a personal computer that is used by the enterprise for its work",Annual,2012-01-01,2016-12-31,33641baf-a2b4-4bb2-a2ab-259c4935bf32,Computer Usage Amongst Enterprises by Employment Size,na,CSV
Urban Redevelopment Authority,819c0811-74ba-4625-b341-244c53564b7a,Conservation Area Map,2016-11-04,2016-11-05,Conservation areas in Singapore,Adhoc,na,na,4a50d631-d4a4-4dec-8de7-be233f50fdc1,Conservation Area Map (KML),na,KML
Urban Redevelopment Authority,819c0811-74ba-4625-b341-244c53564b7a,Conservation Area Map,2016-11-04,2016-11-05,Conservation areas in Singapore,Adhoc,na,na,5a62ec2e-883b-47cf-a19f-dad033800d0e,Conservation Area Map (SHP),na,SHP
Urban Redevelopment Authority,b12e31fd-51f3-4cd3-878b-0bde8e7ba2ce,Conservation Sites Sold By URA,2016-05-19,2017-04-20,URA acts as agent for the State in selling parcels of land comprising conservation shophouses for restoration. The release of such sites is done through the Government Land Sales (GLS) programme. Each programme is planned for and announced every 6 months.,Adhoc,1987-08-27,2007-11-06,6482703c-41d1-4060-bd00-b7dc0458f973,Conservation Sites Sold By URA,na,CSV
People's Association,0382d60a-96ee-4859-b997-865211b571b9,Constituency Offices,2015-09-24,2020-01-08,to locate Constituency Offices in Singapore,Adhoc,na,na,986880c6-756f-4c59-978a-2bb2c2c29f43,Constituency Offices (KML),na,KML
People's Association,0382d60a-96ee-4859-b997-865211b571b9,Constituency Offices,2015-09-24,2020-01-08,to locate Constituency Offices in Singapore,Adhoc,na,na,3ba79cb9-539b-4094-97ff-9c8aec97caac,Constituency Offices (GEOJSON),na,GeoJSON
Ministry of Trade and Industry - Department of Statistics,bccbcf10-a6da-44c3-96a6-a496ada7452c,"Consumer Price Index, Annual",2016-02-29,2020-02-03,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Annual,1961-01-01,2019-12-31,88f3fe54-92b7-446e-bd58-a466058dcdca,"Consumer Price Index, Base Year 2014 = 100, Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,bccbcf10-a6da-44c3-96a6-a496ada7452c,"Consumer Price Index, Annual",2016-02-29,2020-02-03,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Annual,1961-01-01,2019-12-31,0a35d11d-0752-4423-8ac6-924ecb6c3bcf,"Consumer Price Index at Division Level, Base Year 2014 = 100, Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,bccbcf10-a6da-44c3-96a6-a496ada7452c,"Consumer Price Index, Annual",2016-02-29,2020-02-03,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Annual,1961-01-01,2019-12-31,1f850626-19ef-40e0-ac58-ad9970cacbeb,"Consumer Price Index at Group Level, Base Year 2014 = 100, Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,bdb80c9f-d5c9-4405-b81d-7874bce1e24a,"Consumer Price Index (CPI), Base Year 2014 = 100, Monthly, Seasonally Adjusted",2016-06-14,2020-02-03,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Monthly,1961-01-01,2019-12-31,1f7787b4-2650-4673-b7ff-cad4ace40dfe,"Consumer Price Index, Base Year 2014 = 100, All Items, Monthly, Seasonally Adjusted",na,CSV
Ministry of Trade and Industry - Department of Statistics,bdb80c9f-d5c9-4405-b81d-7874bce1e24a,"Consumer Price Index (CPI), Base Year 2014 = 100, Monthly, Seasonally Adjusted",2016-06-14,2020-02-03,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Monthly,1961-01-01,2019-12-31,f43c0784-b875-4fa9-b540-40b1bdf1ac4c,"Consumer Price Index, Base Year 2014 = 100, by Division, Monthly, Seasonally Adjusted",na,CSV
Ministry of Trade and Industry - Department of Statistics,bdb80c9f-d5c9-4405-b81d-7874bce1e24a,"Consumer Price Index (CPI), Base Year 2014 = 100, Monthly, Seasonally Adjusted",2016-06-14,2020-02-03,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Monthly,1961-01-01,2019-12-31,e23d85d3-5a61-40da-9ee2-d18b84df77e9,"Consumer Price Index, Base Year 2014 = 100, by Group, Monthly, Seasonally Adjusted",na,CSV
Ministry of Trade and Industry - Department of Statistics,02789c58-a3c3-4887-b7e6-650e49907f58,"Consumer Price Index (CPI) for households in different income groups, base year 2014 = 100, half-yearly",2016-06-14,2020-02-03,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Half Year,1993-01-01,2019-06-30,e431b044-9256-42bc-bc0b-dda93e3ad2fa,"Consumer Price Index by Income Group, Base Year 2014 = 100, All Items, Half-yearly",na,CSV
Ministry of Trade and Industry - Department of Statistics,02789c58-a3c3-4887-b7e6-650e49907f58,"Consumer Price Index (CPI) for households in different income groups, base year 2014 = 100, half-yearly",2016-06-14,2020-02-03,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Half Year,1993-01-01,2019-06-30,f2d4463f-7581-42d0-8266-75f6083d8ceb,"Consumer Price Index by Income Group, Base Year 2014 = 100, by Division, Half-yearly",na,CSV
Ministry of Trade and Industry - Department of Statistics,20d0395c-e6a5-4aba-9e1a-02b78fdefdab,"Consumer Price Index, Monthly",2015-10-05,2020-02-03,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Monthly,1961-01-01,2019-12-31,67d08d6b-2efa-4825-8bdb-667d23b7285e,"Consumer Price Index, Base Year 2014 = 100, Monthly","The CPI covers only consumption expenditure incurred by resident households. Non-consumption expenditures such as loan repayments, income tax, purchase of houses, shares and other financial assets are excluded.",CSV
